"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AUTOMOTIVE","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","COMMENT","COMPONENTLINK2URL","CURRENT RATING","DATASHEET URL","DEPTH","FREQUENCY","GENDER","HEIGHT","IMPEDANCE","LENGTH","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER URL","MAX POWER DISSIPATION","MOUNT","MOUSER DESCRIPTION","NUMBER OF CIRCUITS","NUMBER OF PINS","NUMBER OF TERMINATIONS","PACKAGE","PACKAGE REFERENCE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PART NUMBER","PARTNUMBER","PITCH","POWER RATING","RESISTANCE","SERIES","TERMINATION","TEST FREQUENCY","VALUE","VOLTAGE RATING","VOLTAGE RATING (DC)","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"CMP-0318-00718-2","ST-48_N","ST-48_L","ST-48_M","","","","","","","","ADV7125KSTZ140","http://www.analog.com/static/imported-files/data_sheets/ADV7125.pdf","","","","","","","","","Analog Devices","ADV7125KSTZ140","","","","","","","","","","48-Pin Thin Quad Flat Pack 0.5 mm Pitch","ST-48","revA","","ADV7125KSTZ140","","","","","","","ADV7125KSTZ140","","","","","U?","3 Channel 8-Bit CMOS High Speed Video Digital-to-Analog Converter, -40 to +85 degC, ST-48, Pb-Free, Tray"
"CMP-03211-000130-1","FP-RN732A-MFG","FP-RN732A-IPC_C","FP-RN732A-IPC_B","FP-RN732A-IPC_A","No","","","","","Res","RN73C2A10KBTDF","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773270%7FP%7Fpdf%7FEnglish%7FENG_DS_1773270_P.pdf%7F1676162-2","","","","","","0.65mm","","","TE Connectivity","RN73C2A10KBTDF","","","","","","","","RN732A","","","","","","","","0.1W","10K?","RN73","","","10K?","100V","","","","R?","SMD Chip Resistor, Thin Film, 10K?, 100 V, 0805 [2012 Metric], 100 mW, 0.1%, RN73 Series"
"CMP-03211-002331-1","FP-RN732A-MFG","FP-RN732A-IPC_C","FP-RN732A-IPC_B","FP-RN732A-IPC_A","No","","","","","Res","RN73C2A150RBTDF","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773270%7FP%7Fpdf%7FEnglish%7FENG_DS_1773270_P.pdf%7F1676162-2","","","","","","0.65mm","","","TE Connectivity","RN73C2A150RBTDF","","","","","","","","RN732A","","","","","","","","0.1W","150?","RN73","","","150?","100V","","","","R?","SMD Chip Resistor, Thin Film, 150?, 100 V, 0805 [2012 Metric], 100 mW, 0.1%, RN73 Series"
"CMP-03211-006560-1","FP-RN732A-MFG","FP-RN732A-IPC_C","FP-RN732A-IPC_B","FP-RN732A-IPC_A","No","","","","","Res","RN73C2A75RBTDF","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773270%7FP%7Fpdf%7FEnglish%7FENG_DS_1773270_P.pdf%7F1676162-2","","","","","","0.65mm","","","TE Connectivity","RN73C2A75RBTDF","","","","","","","","RN732A","","","","","","","","0.1W","75?","RN73","","","75?","100V","","","","R?","SMD Chip Resistor, Thin Film, 75?, 100 V, 0805 [2012 Metric], 100 mW, 0.1%, RN73 Series"
"CMP-03211-008328-1","FP-RN732A-MFG","FP-RN732A-IPC_C","FP-RN732A-IPC_B","FP-RN732A-IPC_A","No","","","","","Res","RN73C2A15KBTDF","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773270%7FP%7Fpdf%7FEnglish%7FENG_DS_1773270_P.pdf%7F1676162-2","","","","","","0.65mm","","","TE Connectivity","RN73C2A15KBTDF","","","","","","","","RN732A","","","","","","","","0.1W","15K?","RN73","","","15K?","100V","","","","R?","SMD Chip Resistor, Thin Film, 15K?, 100 V, 0805 [2012 Metric], 100 mW, 0.1%, RN73 Series"
"CMP-03369-000064-1","FP-87227-8-MFG","","","","No","","","","","Conn","87227-8","https://www.te.com/usa-en/product-87227-8.datasheet.pdf","3A","","","","","0.428inch","","","TE Connectivity","87227-8","","","","Headers & Wire Housings UNSHRD VERT DUAL 16","","","","0","","","","","","","2.54mm","","","","","","HEADER 16POS 2.54MM 2ROW","","","","","J?","CONN HEADER VERT 16POS 2.54MM"
"CMP-03412-000082-1","FP-RT0805-MFG","FP-RT0805-IPC_C","FP-RT0805-IPC_B","FP-RT0805-IPC_A","No","","","","","Res","RT0805FRE07680RL","http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf","","","","","","0.6mm","","","Yageo","RT0805FRE07680RL","","","","Res Thin Film 0805 680 Ohm 1% 1/8W ±50ppm/°C Molded SMD SMD Paper T/R","","","","RT0805","","","","","","","","0.125W","680?","RT","","","680?","150V","","","","R?","RES SMD 680 OHM 1% 1/8W 0805"
"CMP-03412-025935-1","FP-RT0805-MFG","FP-RT0805-IPC_C","FP-RT0805-IPC_B","FP-RT0805-IPC_A","No","","","","","Res","RT0805FRE073K3L","http://www.yageo.com/documents/recent/PYu-RT_1-to-0.01_RoHS_L_9.pdf","","","","","","0.6mm","","","Yageo","RT0805FRE073K3L","","","","Res Thin Film 0805 3.3K Ohm 1% 1/8W ±50ppm/°C Molded SMD SMD Paper T/R","","","","RT0805","","","","","","","","0.125W","3.3K?","RT","","","3.3K?","150V","","","","R?","RES SMD 3.3K OHM 1% 1/8W 0805"
"CMP-0378-00006-1","MCHP-PLCC-NH32_L","MCHP-PLCC-NH32_N","MCHP-PLCC-NH32_M","","","","","","","","SST39SF040-70-4C-NHE","http://ww1.microchip.com/downloads/en/DeviceDoc/25022A.pdf","","","","","","","","","Microchip","SST39SF040-70-4C-NHE","","","","","","","","","","32-lead Plastic Lead Chip Carrier, 11.43 x 13.97 mm Body, 1.27 mm Pitch","PLCC-NH32","Rev. A","","SST39SF040-70-4C-NHE","","","","","","","SST39SF040-70-4C-NHE","","","","","D?","4 Mbit Multi-Purpose Flash, 4.5 to 5.5 V, 1 kHz, 0 to 70 degC, 32-pin PLCC (NH32), Tube"
"CMP-0510-00012-1","SLAB-MSOP-10_N","SLAB-MSOP-10_L","SLAB-MSOP-10_M","","","","","","","","Si5351A-B-GT","http://www.silabs.com/Support%20Documents/TechnicalDocs/Si5351.pdf","","","","","","","","","Silicon Labs","SI5351A-B-GT","","","","","","","","","","10-Pin Mini Small Outline Package, Body 3 x 3 mm, Pitch 0.5 mm","MSOP-10","","","Si5351A-B-GT","","","","","","","SI5351A-B-GT","","","","","D?","I2C-Programmable Any-Frequency CMOS Clock Generator + VCXO, 2.5 / 3.3 V, 0.008 to 160 MHz Output, -40 to 85 degC, 10-pin SOP"
