"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AUTOMOTIVE","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CATEGORY","COMMENT","COMPONENTLINK2URL","CURRENT RATING","DATASHEET URL","DEPTH","FREQUENCY","GENDER","HEIGHT","IMPEDANCE","LENGTH","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER URL","MAX POWER DISSIPATION","MOUNT","MOUSER DESCRIPTION","NUMBER OF CIRCUITS","NUMBER OF PINS","NUMBER OF TERMINATIONS","PACKAGE","PACKAGE REFERENCE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PART NUMBER","PARTNUMBER","PITCH","POWER RATING","RESISTANCE","SERIES","TERMINATION","TEST FREQUENCY","VALUE","VOLTAGE RATING","VOLTAGE RATING (DC)","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"CMP-1676-00001-5","MOLX-22-28-4033_V","","","","","","","","","","22-28-4033","http://www.molex.com/pdm_docs/sd/022284033_sd.pdf","4 A","","","","","8.38 mm","","7.62 mm","Molex","22-28-4033","","","Through Hole","","","","","","","Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 8.38 mm, Tail Length 3.18 mm","22-28-4033","","","","","","","","","","header 3 pin, 2.54mm","250 V","","","","X?","Male Header, Pitch 2.54 mm, 1 x 3 Position, Height 8.38 mm, Tail Length 3.18 mm, RoHS, Bulk"
"CMP-1685-00009-2","FP-D0008A-MFG","FP-D0008A-IPC_A","FP-D0008A-IPC_B","FP-D0008A-IPC_C","","","","","SOIC","","LM358DR","","","","","","","1.58mm","","4.9mm","Texas Instruments","LM358DR","","","Surface Mount","","2","8","","","","","","","","","","","","","","","LM358DR","","","3.91mm","","D?","IC OPAMP GP 2 CIRCUIT 8SOIC"
"CMP-2000-05248-1","MOLX-502774-0891_V","","","","","","","","","Connectors,Interconnects","502774-0891","","","https://datasheet.ciiva.com/1104/1499551-1104671.pdf","","","","","","","Molex","5027740891","http://www.molex.com/","","","","","","","","","","","","","","","","","502774","","","5027740891","","","","","CD?","Micro SD Memory Card Connector, 0.5 A, 10 V (DC), -25 to 85 degC, 8-Pin SMT, RoHS, Tape and Reel"
"CMP-2000-05610-1","MOLX-47589-0001_V","","","","","","","","","","47589-0001","","1.8A","http://www.molex.com/webdocs/datasheets/pdf/en-us/0475890001_IO_CONNECTORS.pdf","","","Female","","","","Molex","47589-0001","http://www.molex.com/","","","","","","","","47589-0001","","","","","","","","","47589","","","47589-0001","30VAC","","","","X?","Right Angle Female Type AB Micro USB Connector, 30 V, 1.8 A, -30 to 85 degC, RoHS, Tape and Reel"
"CMP-2000-05926-1","STM-DO-35-2","","","","","","","","","","BAT46","","","http://www.st.com/content/ccc/resource/technical/document/datasheet/group1/11/76/e4/a3/df/07/49/14/CD00000767/files/CD00000767.pdf/jcr:content/translations/en.CD00000767.pdf","","","","","","","STMicroelectronics","BAT46","http://www.st.com/","","","","","","","","DO-35-2","","","","","","","","","","","","BAT46","","","","","D?","Small Signal Schottky Diode, 150 mA, 100 V, -65 to 125 degC, 2-Pin DO-35, RoHS, Tape and Reel"
"CMP-2000-06123-1","MURA-CSTCE_G_V","","","","","33pF","","","","CrystalsandOscillators","CSTCE12M0G55Z-R0","","","http://www.murata.com/~/media/webrenewal/support/library/catalog/products/timingdevice/ceralock/p16e.ashx","","12MHz","","0.031"(0.80mm)","30Ohm","","Murata","CSTCE12M0G55Z-R0","http://www.murata.com/","","","","","","","","CSTCE_G","","","","","","","","","CERALOCK®","","","12MHz","","","","","Q?","Ceramic Resonator, 12 MHz, +/- 0.5%, -40 to 125 degC, 3-Pin SMD, RoHS, Tape and Reel"
"CMP-2000-06794-1","3M-N2510-6002-10_V","","","","","","","","","","N2510-6002RB","","","https://datasheet.ciiva.com/11746/0900766b807b18da-11746957.pdf","","","Male","","","","3M","N2510-6002RB","http://www.3m.com/","","","","","","","","N2510-6002-10","","","","","N2510","2.54mm","","","","","","10-Pin Shrouded Header, 2.54mm","","","","","X?","Male Header, Pitch 2.54 mm, 2 x 5 Postion, Height 9.91 mm, Tail Length 2.84 mm, -55 to 105 degC, RoHS, Bulk"
"CMP-2001-03561-2","FP-RR1220-IPC_A","FP-RR1220-IPC_C","FP-RR1220-MFG","FP-RR1220-IPC_B","","","0805","2012","0805","","RR1220Q-510-D","","","","1.25mm","","","0.4mm","","2mm","Susumu","RR1220Q-510-D","","100mW","","","","2","2","","","","","","","","","100mW","51?","RR","SMD/SMT","","51?","100V","100V","1.25mm","","R?","51? ±0.5% 0.1W 1/10W Chip Resistor 0805 (2012 Metric) Thin Film"
"CMP-2001-04496-2","FP-AC0805-MFG","FP-AC0805-IPC_C","FP-AC0805-IPC_B","FP-AC0805-IPC_A","Yes","","","","","Res","AC0805FR-072K7L","http://www.yageo.com/documents/recent/PYu-AC_51_RoHS_L_6.pdf","","","","","","0.6mm","","","Yageo","AC0805FR-072K7L","","","","RES SMD 2.7K OHM 1% 1/8W 0805","","","","AC0805","","","","","","","","1/8W","2.7K?","AC","","","2.7K?","150V","","","","R?","RES SMD 2.7K OHM 1% 1/8W 0805"
"CMP-2007-03243-2","FP-C0805C-DG-MFG","FP-C0805C-DG-IPC_C","FP-C0805C-DG-IPC_B","FP-C0805C-DG-IPC_A","No","10uF","","","","Cap","C0805C106K8PACTU","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","","","","","","1.4mm","","","Kemet","C0805C106K8PACTU","","","","CAP CER 10UF 10V X5R 0805","","","","C0805C-DG","","","","","","","","","","","","","10uF","10V","","","","C?","CAP CER 10UF 10V X5R 0805"
"CMP-2007-03346-2","FP-GCM21B-0_15-MFG","FP-GCM21B-0_15-IPC_A","FP-GCM21B-0_15-IPC_B","FP-GCM21B-0_15-IPC_C","","1uF","0805","2012","0805","","GCM21BR71E105KA56L","","","","1.25mm","","","1.25mm","","2mm","Murata","GCM21BR71E105KA56L","","","Surface Mount","","","","","","","","","","","","","","","","SMD/SMT","","1uF","25V","25V","0.049inch","","C?","Ceramic Capacitor for Automotive 1uF ±10% 25VDC X7R 0805 Embossed T/R"
"CMP-2100-03606-3","FP-CC0805-0_85-MFG","FP-CC0805-0_85-IPC_C","FP-CC0805-0_85-IPC_B","FP-CC0805-0_85-IPC_A","No","100 nF","","","","Cap","CC0805KRX7R9BB104","http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf","","","","","","0.95mm","","","Yageo","CC0805KRX7R9BB104","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 50V X7R 10%","","","","CC0805-0.85","","","","","","","","","","","","","100 nF","50 V","","","","C?","CAP CER 0.1UF 50V X7R 0805"
"CMP-2100-03689-1","AVX-TAJ-B-2_M","AVX-TAJ-B-2_N","AVX-TAJ-B-2_L","","","22uF","1210","3528","1210","","TAJB226K016RNJ","","","http://datasheets.avx.com/TAJ.pdf","2.8mm","","","1.9mm","","3.5mm","AVX","TAJB226K016RNJ","http://www.avx.com/","","","","","2","","","TAJ-B-2","","","","","","","","","","SMD/SMT","","22uF","16V","16V","2.8mm","","C?","Standard Tantalum, 22 uF, +/- 10%, 16 V, -55 to 125 degC, 2-Pin SMD (1210), RoHS, Tape and Reel"
"CMP-26527-001097-1","FP-RMCF0805-IPC_B","FP-RMCF0805-MFG","FP-RMCF0805-IPC_C","FP-RMCF0805-IPC_A","","","0805","2012","0805","","RMCF0805JT33K0","","","","1.25mm","","","0.026inch","","2mm","Stackpole Electronics","RMCF0805JT33K0","","125mW","Surface Mount","","","","2","","","","","","","","","125mW","33kR","RMCF","","","33k?","","","0.049inch","","R?","33k? ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant"
"CMP-27762-000021-1","FP-ABM8G-MFG","","","","","","","","SMD/SMT","","ABM8G-25.000MHz-B4Y-T","","","","2.5mm","25MHz","","0.039inch","","3.2mm","Abracon","ABM8G-25.000MHZ-B4Y-T","","","Surface Mount","","","4","","","","","","","","","","","","ABM8G","SMD/SMT","","25MHz","","","0.098inch","","Q?","CRYSTAL 25.0000MHZ 10PF SMD"
"EP1K50Q208","PQFP208X5","","","","","","","","","","EP1K50Q208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EP1K50Q208","","","","*","D?","EP1K50Q208"
"ESP32-S3-WROOM-1","ESP32S3WROOM1","","","","","","","","","","ESP32-S3-WROOM-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ESP32-S3-WROOM-1","","","","","D?","2.4 GHz Wi­Fi (802.11 b/g/n) and Bluetooth® 5 (LE) module
Built around ESP32­S3 series of SoCs, Xtensa® dual­core 32­bit LX7 microprocessor
Flash up to 16 MB, PSRAM up to 8 MB
36 GPIOs, rich set of peripherals
Onboard PCB antenna or external antenna connector"
"FDD34M","FDD34M","","","","","","","","","","FDD34M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shrouded Header 34 pos 2.54mm 2 row","","","","*","X?","FDD34M"
"FE1.1S","TSOP64P600X160-28L","","","","","","","","","","FE1.1S","","","","","","","","","","Terminus Technology Inc","","","","","","","","","28-pin SSOP (Body Size: 10x4 mm, Pitch: 0.64mm)","","","","","","","","","","","","","FE1.1S","","","","","U?","USB 2.0 HIGH SPEED 4-PORT HUB CONTROLLER"
"JUMPER","JUMPER","JUMPER_JUMPER(Primary)","","","","","","","","","JUMPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","header 2 pos 2.54mm","","","","*","J?","HLT->~IP"
"JUMPER_1","JUMPER","","","","","","","","","","JUMPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","J?","12V enabled"
"JUMPER_2","JUMPER","","","","","","","","","","JUMPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?","Soft Reset Key"
"JUMPER_3","JUMPER","","","","","","","","","","JUMPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","J?","Hard Reset Key"
"KEYB-MOUSE","MDD-6FR","","","","","","","","","","KEYB-MOUSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","X?","KEYB-MOUSE"
"KR1818VG93","DIP40","","","","","","","","","","KR1818VG93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","D?","KR1818VG93"
"L-CHIP","L-CHIP","","","","","","","","","","L-CHIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1uH","","","","*","L?","L-CHIP"
"LED","LED100","","","","","","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","green","","","","*","VD?","Light Emitting Diode"
"MSM5118160F-JS","SOJ42","","","","","","","","","","MSM5118160F-JS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","RAM?","MSM5118160F-JS"
"PLB1-4I","PLB1-4I","","","","","","","","","","PLB1-4I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","X?","PLB1-4I"
"PLB2-2","PLB2-2","","","","","","","","","","PLB2-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","X?","PLB2-2"
"SJ-3524-SMT-TR","SJ-3524-SMT-TR","","","","","","","","","","SJ-3524-SMT-TR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X?","Connector"
"WM8960CGEFL/RV","QFN50P500X500X90_HS-33M","","","","","","","","","","WM8960CGEFL/RV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WM8960CGEFL/RV","","","","","D?","Stereo CODEC with 1W Stereo Class-D speaker Drivers"
"YM2149","DIP40","","","","","","","","","","YM2149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YM2149","","","","*","D?","YM2149"
"Z84C0020FEC","QFP44X8","","","","","","","","","","Z84C0020FEC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Z84C0020FEC","","","","*","D?","Z84C0020FEC"
"ZXSLOT","SLOT62_ZXSLOT(Primary)","","","","","","","","","","ZXSLOT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","*","XS?","ZXSLOT"
